cid  sid    ch    det    id     a0     a1     a2
0     2     0     -1     -1    0.0    0.0     0.0
0     2     1     -1     -1    0.0    0.0     0.0
0     2     2     -1     -1    0.0    0.0     0.0
0     2     3     -1     -1    0.0    0.0     0.0
0     2     4     -1     -1    0.0    0.0     0.0
0     2     5     -1     -1    0.0    0.0     0.0
0     2     6     -1     -1    0.0    0.0     0.0
0     2     7     -1     -1    0.0    0.0     0.0
0     2     8     -1     -1    0.0    0.0     0.0
0     2     9     -1     -1    0.0    0.0     0.0
0     2     10    -1     -1    0.0    0.0     0.0
0     2     11    -1     -1    0.0    0.0     0.0
0     2     12    -1     -1    0.0    0.0     0.0
0     2     13    -1     -1    0.0    0.0     0.0
0     2     14    -1     -1    0.0    0.0     0.0
0     2     15    -1     -1    0.0    0.0     0.0
